anyo,fecha_exportacion,evaluacion,alumno,ensenanza,curso,contenido,bloque_contenido,nota_numerica,tipo_nota,observacion,capacidades_inf,medidas_inf,borrar,sobreescribir
2021,19/10/2023 16:17:54,01,10412769,5,2712312846,028503, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10412769,5,2712312846,028505, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10412769,5,2712312846,028504, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10423487,5,2712312846,028502, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10423487,5,2712312846,028100, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10423487,5,2712312846,028501, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10423487,5,2712312846,028503, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10423487,5,2712312846,028001, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10423487,5,2712312846,028505, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10423487,5,2712312846,028504, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10431262,5,2712312846,028502, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10431262,5,2712312846,028501, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10431262,5,2712312846,028503, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10431262,5,2712312846,028505, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10461435,5,2712312846,028502, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10461435,5,2712312846,028100, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10461435,5,2712312846,028501, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,10461435,5,2712312846,028503, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10461435,5,2712312846,028001, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10461435,5,2712312846,028505, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10461435,5,2712312846,028504, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,10471018,5,2712312846,028502, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10471018,5,2712312846,028100, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10471018,5,2712312846,028501, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10471018,5,2712312846,028503, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10471018,5,2712312846,028505, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10471018,5,2712312846,028504, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10485206,5,2712312846,028502, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10485206,5,2712312846,028100, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10485206,5,2712312846,028501, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,10485206,5,2712312846,028503, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10485206,5,2712312846,028001, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10485206,5,2712312846,028505, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10485206,5,2712312846,028504, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10514539,5,2712312846,028502, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10514539,5,2712312846,028100, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10514539,5,2712312846,028501, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10514539,5,2712312846,028503, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10514539,5,2712312846,028001, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10514539,5,2712312846,028505, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10514539,5,2712312846,028504, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10572727,5,2712312846,028502, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10572727,5,2712312846,028100, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10572727,5,2712312846,028501, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10572727,5,2712312846,028503, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10572727,5,2712312846,028001, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10572727,5,2712312846,028505, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10572727,5,2712312846,028504, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,10599316,5,2712312846,028502, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10599316,5,2712312846,028100, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10599316,5,2712312846,028501, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10599316,5,2712312846,028503, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10599316,5,2712312846,028001, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10599316,5,2712312846,028505, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10599316,5,2712312846,028504, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10599520,5,2712312846,028502, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10599520,5,2712312846,028100, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10599520,5,2712312846,028501, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10599520,5,2712312846,028503, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10599520,5,2712312846,028001, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10599520,5,2712312846,028505, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10599520,5,2712312846,028504, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10624665,5,2712312846,028502, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10624665,5,2712312846,028100, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10624665,5,2712312846,028501, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10624665,5,2712312846,028503, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10624665,5,2712312846,028001, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10624665,5,2712312846,028505, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10624665,5,2712312846,028504, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10629927,5,2712312846,028502, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10629927,5,2712312846,028100, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10629927,5,2712312846,028501, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10629927,5,2712312846,028503, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10629927,5,2712312846,028001, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10629927,5,2712312846,028505, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10629927,5,2712312846,028504, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10634546,5,2712312846,028502, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10634546,5,2712312846,028100, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10634546,5,2712312846,028501, ,7,360492991, , , ,N,N
